,bus,period,charge,discharge,SOC
0,150_1,1,0.416666667,0.0,178.583333
1,150_1,2,0.416666667,0.0,179.0
2,150_1,3,0.416666667,0.0,179.416667
3,150_1,4,0.416666667,0.0,179.833333
4,150_1,5,0.416666667,0.0,180.25
5,150_1,6,0.416666667,0.0,180.666667
6,150_1,7,0.416666667,0.0,181.083333
7,150_1,8,0.416666667,0.0,181.5
8,150_1,9,0.416666667,0.0,181.916667
9,150_1,10,0.416666667,0.0,182.333333
10,150_1,11,0.416666667,0.0,182.75
11,150_1,12,0.416666667,0.0,183.166667
12,150_1,13,0.416666667,0.0,183.583333
13,150_1,14,0.416666667,0.0,184.0
14,150_1,15,0.416666667,0.0,184.416667
15,150_1,16,0.416666667,0.0,184.833333
16,150_1,17,0.416666667,0.0,185.25
17,150_1,18,0.416666667,0.0,185.666667
18,150_1,19,0.416666667,0.0,186.083333
19,150_1,20,0.416666667,0.0,186.5
20,150_1,21,0.416666667,0.0,186.916667
21,150_1,22,0.416666667,0.0,187.333333
22,150_1,23,0.416666667,0.0,187.75
23,150_1,24,0.416666667,0.0,188.166667
24,150_1,25,0.416666667,0.0,188.583333
25,150_1,26,0.416666667,0.0,189.0
26,150_1,27,0.416666667,0.0,189.416667
27,150_1,28,0.416666667,0.0,189.833333
28,150_1,29,0.416666667,0.0,190.25
29,150_1,30,0.416666667,0.0,190.666667
30,150_1,31,0.416666667,0.0,191.083333
31,150_1,32,0.416666667,0.0,191.5
32,150_1,33,0.416666667,0.0,191.916667
33,150_1,34,0.416666667,0.0,192.333333
34,150_1,35,0.416666667,0.0,192.75
35,150_1,36,0.416666667,0.0,193.166667
36,150_1,37,0.416666667,0.0,193.583333
37,150_1,38,0.416666667,0.0,194.0
38,150_1,39,0.416666667,0.0,194.416667
39,150_1,40,0.416666667,0.0,194.833333
40,150_1,41,0.416666667,0.0,195.25
41,150_1,42,0.416666667,0.0,195.666667
42,150_1,43,0.416666667,0.0,196.083333
43,150_1,44,0.416666667,0.0,196.5
44,150_1,45,0.416666667,0.0,196.916667
45,150_1,46,0.416666667,0.0,197.333333
46,150_1,47,0.416666667,0.0,197.75
47,150_1,48,0.416666667,0.0,198.166667
48,150_1,49,0.416666667,0.0,198.583333
49,150_1,50,0.416666667,0.0,199.0
50,150_1,51,0.416666667,0.0,199.416667
51,150_1,52,0.416666667,0.0,199.833333
52,150_1,53,0.0,0.0,199.583333
53,150_1,54,0.0,0.0,199.333333
54,150_1,55,0.0,0.0,199.083333
55,150_1,56,0.0,0.0,198.833333
56,150_1,57,0.0,0.0,198.583333
57,150_1,58,0.0,0.0,198.333333
58,150_1,59,0.0,0.0,198.083333
59,150_1,60,0.0,0.0,197.833333
60,150_1,61,0.0,0.0,197.583333
61,150_1,62,0.0,0.0,197.333333
62,150_1,63,0.0,0.0,197.083333
63,150_1,64,0.0,0.0,196.833333
64,150_1,65,0.0,0.0,196.583333
65,150_1,66,0.0,0.0,196.333333
66,150_1,67,0.0,0.0,196.083333
67,150_1,68,0.0,0.0,195.833333
68,150_1,69,0.0,0.0,195.583333
69,150_1,70,0.0,0.0,195.333333
70,150_1,71,0.0,0.0,195.083333
71,150_1,72,0.0,0.0,194.833333
72,150_1,73,0.0,0.0,194.583333
73,150_1,74,0.0,0.0,194.333333
74,150_1,75,0.0,0.0,194.083333
75,150_1,76,0.0,0.0,193.833333
76,150_1,77,0.0,0.0,193.583333
77,150_1,78,0.0,0.0,193.333333
78,150_1,79,0.0,0.0,193.083333
79,150_1,80,0.0,0.0,192.833333
80,150_1,81,0.0,0.0,192.583333
81,150_1,82,0.0,0.0,192.333333
82,150_1,83,0.0,0.0,192.083333
83,150_1,84,0.0,0.0,191.833333
84,150_1,85,0.0,0.0,191.583333
85,150_1,86,0.0,0.0,191.333333
86,150_1,87,0.0,0.0,191.083333
87,150_1,88,0.0,0.0,190.833333
88,150_1,89,0.0,0.0,190.583333
89,150_1,90,0.0,0.0,190.333333
90,150_1,91,0.0,0.0,190.083333
91,150_1,92,0.0,0.0,189.833333
92,150_1,93,0.0,0.0,189.583333
93,150_1,94,0.0,0.0,189.333333
94,150_1,95,0.0,0.0,189.083333
95,150_1,96,0.0,0.0,188.833333
96,150_1,97,0.0,0.0,188.583333
97,150_1,98,0.0,0.0,188.333333
98,150_1,99,0.0,0.0,188.083333
99,150_1,100,0.0,0.0,187.833333
100,150_1,101,0.0,0.0,187.583333
101,150_1,102,0.0,0.0,187.333333
102,150_1,103,0.416666667,0.0,187.75
103,150_1,104,0.416666667,0.0,188.166667
104,150_1,105,0.416666667,0.0,188.583333
105,150_1,106,0.416666667,0.0,189.0
106,150_1,107,0.416666667,0.0,189.416667
107,150_1,108,0.416666667,0.0,189.833333
108,150_1,109,0.0,0.416666667,189.416667
109,150_1,110,0.0,0.416666667,189.0
110,150_1,111,0.0,0.416666667,188.583333
111,150_1,112,0.0,0.416666667,188.166667
112,150_1,113,0.0,0.416666667,187.75
113,150_1,114,0.0,0.416666667,187.333333
114,150_1,115,0.0,0.416666667,186.916667
115,150_1,116,0.0,0.416666667,186.5
116,150_1,117,0.0,0.416666667,186.083333
117,150_1,118,0.0,0.416666667,185.666667
118,150_1,119,0.0,0.416666667,185.25
119,150_1,120,0.0,0.416666667,184.833333
120,150_1,121,0.0,0.416666667,184.416667
121,150_1,122,0.0,0.416666667,184.0
122,150_1,123,0.0,0.416666667,183.583333
123,150_1,124,0.0,0.416666667,183.166667
124,150_1,125,0.0,0.416666667,182.75
125,150_1,126,0.0,0.416666667,182.333333
126,150_1,127,0.0,0.416666667,181.916667
127,150_1,128,0.0,0.416666667,181.5
128,150_1,129,0.0,0.416666667,181.083333
129,150_1,130,0.0,0.416666667,180.666667
130,150_1,131,0.0,0.416666667,180.25
131,150_1,132,0.0,0.416666667,179.833333
132,150_1,133,0.0,0.416666667,179.416667
133,150_1,134,0.0,0.416666667,179.0
134,150_1,135,0.0,0.416666667,178.583333
135,150_1,136,0.0,0.416666667,178.166667
136,150_1,137,0.0,0.416666667,177.75
137,150_1,138,0.0,0.416666667,177.333333
138,150_1,139,0.0,0.416666667,176.916667
139,150_1,140,0.0,0.416666667,176.5
140,150_1,141,0.0,0.416666667,176.083333
141,150_1,142,0.0,0.416666667,175.666667
142,150_1,143,0.0,0.416666667,175.25
143,150_1,144,0.0,0.416666667,174.833333
144,150_1,145,0.416666667,0.0,175.25
145,150_1,146,0.416666667,0.0,175.666667
146,150_1,147,0.416666667,0.0,176.083333
147,150_1,148,0.416666667,0.0,176.5
148,150_1,149,0.416666667,0.0,176.916667
149,150_1,150,0.416666667,0.0,177.333333
150,150_1,151,0.416666667,0.0,177.75
151,150_1,152,0.416666667,0.0,178.166667
152,150_1,153,0.416666667,0.0,178.583333
153,150_1,154,0.416666667,0.0,179.0
154,150_1,155,0.0,0.0,179.0
155,150_1,156,0.0,0.0,179.0
156,150_1,157,0.0,0.0,179.0
157,150_1,158,0.0,0.0,179.0
158,150_1,159,0.0,0.0,179.0
159,150_1,160,0.0,0.0,179.0
160,150_1,161,0.0,0.0,179.0
161,150_1,162,0.0,0.0,179.0
162,150_1,163,0.0,0.0,179.0
163,150_1,164,0.0,0.0,179.0
164,150_1,165,0.0,0.0,179.0
165,150_1,166,0.0,0.0,179.0
166,150_1,167,0.0,0.0,179.0
167,150_1,168,0.0,0.0,179.0
168,150_1,169,0.0,0.0,179.0
169,150_1,170,0.0,0.0,179.0
170,150_1,171,0.0,0.0,179.0
171,150_1,172,0.0,0.0,179.0
172,150_1,173,0.0,0.0,179.0
173,150_1,174,0.0,0.0,179.0
174,150_1,175,0.0,0.0,179.0
175,150_1,176,0.0,0.0,179.0
176,150_1,177,0.0,0.0,179.0
177,150_1,178,0.0,0.0,179.0
